1 00:00:00,r4,v3,3716
1 00:00:00,r4,v5,3352
1 00:00:00,r4,v9,50
1 00:10:00,r4,v3,3716
1 00:10:00,r4,v5,3352
1 00:10:00,r4,v9,50
1 00:20:00,r4,v3,3716
1 00:20:00,r4,v5,3352
1 00:20:00,r4,v9,50
1 00:30:00,r4,v3,3716
1 00:30:00,r4,v5,3352
1 00:30:00,r4,v9,50
1 00:40:00,r4,v3,3716
1 00:40:00,r4,v5,3352
1 00:40:00,r4,v9,50
1 00:50:00,r4,v3,3716
1 00:50:00,r4,v5,3352
1 00:50:00,r4,v9,50
1 01:00:00,r4,v3,3716
1 01:00:00,r4,v5,3352
1 01:00:00,r4,v9,50
1 01:10:00,r4,v3,3716
1 01:10:00,r4,v5,3352
1 01:10:00,r4,v9,50
1 01:20:00,r4,v3,3716
1 01:20:00,r4,v5,3352
1 01:20:00,r4,v9,50
1 01:30:00,r4,v3,3716
1 01:30:00,r4,v5,3352
1 01:30:00,r4,v9,50
1 01:40:00,r4,v3,3716
1 01:40:00,r4,v5,3352
1 01:40:00,r4,v9,50
1 01:50:00,r4,v3,3716
1 01:50:00,r4,v5,3352
1 01:50:00,r4,v9,50
1 02:00:00,r4,v3,3716
1 02:00:00,r4,v5,3352
1 02:00:00,r4,v9,50
1 02:10:00,r4,v3,3716
1 02:10:00,r4,v5,3352
1 02:10:00,r4,v9,50
1 02:20:00,r4,v3,3716
1 02:20:00,r4,v5,3352
1 02:20:00,r4,v9,50
1 02:30:00,r4,v3,3724
1 02:30:00,r4,v5,3352
1 02:30:00,r4,v9,50
1 02:40:00,r4,v3,3724
1 02:40:00,r4,v5,3352
1 02:40:00,r4,v9,50
1 02:50:00,r4,v3,3724
1 02:50:00,r4,v5,3352
1 02:50:00,r4,v9,50
1 03:00:00,r4,v3,3724
1 03:00:00,r4,v5,3352
1 03:00:00,r4,v9,50
1 03:10:00,r4,v3,3724
1 03:10:00,r4,v5,3352
1 03:10:00,r4,v9,50
1 03:20:00,r4,v3,3724
1 03:20:00,r4,v5,3352
1 03:20:00,r4,v9,50
1 03:30:00,r4,v3,3724
1 03:30:00,r4,v5,3352
1 03:30:00,r4,v9,50
1 03:40:00,r4,v3,3724
1 03:40:00,r4,v5,3352
1 03:40:00,r4,v9,50
1 03:50:00,r4,v3,3724
1 03:50:00,r4,v5,3352
1 03:50:00,r4,v9,50
1 04:00:00,r4,v3,3724
1 04:00:00,r4,v5,3352
1 04:00:00,r4,v9,50
1 04:10:00,r4,v3,3724
1 04:10:00,r4,v5,3352
1 04:10:00,r4,v9,50
1 04:20:00,r4,v3,3724
1 04:20:00,r4,v5,3352
1 04:20:00,r4,v9,50
1 04:30:00,r4,v3,3724
1 04:30:00,r4,v5,3352
1 04:30:00,r4,v9,50
1 04:40:00,r4,v3,3724
1 04:40:00,r4,v5,3352
1 04:40:00,r4,v9,50
1 04:50:00,r4,v3,3724
1 04:50:00,r4,v5,3352
1 04:50:00,r4,v9,50
1 05:00:00,r4,v3,3724
1 05:00:00,r4,v5,3352
1 05:00:00,r4,v9,50
1 05:10:00,r4,v3,3724
1 05:10:00,r4,v5,3352
1 05:10:00,r4,v9,50
1 05:20:00,r4,v3,3724
1 05:20:00,r4,v5,3352
1 05:20:00,r4,v9,50
1 05:30:00,r4,v3,3724
1 05:30:00,r4,v5,3352
1 05:30:00,r4,v9,50
1 05:40:00,r4,v3,3724
1 05:40:00,r4,v5,3352
1 05:40:00,r4,v9,50
1 05:50:00,r4,v3,3724
1 05:50:00,r4,v5,3352
1 05:50:00,r4,v9,50
1 06:00:00,r4,v3,3724
1 06:00:00,r4,v5,3352
1 06:00:00,r4,v9,50
1 06:10:00,r4,v3,3724
1 06:10:00,r4,v5,3352
1 06:10:00,r4,v9,50
1 06:20:00,r4,v3,3732
1 06:20:00,r4,v5,3352
1 06:20:00,r4,v9,50
1 06:30:00,r4,v3,3724
1 06:30:00,r4,v5,3352
1 06:30:00,r4,v9,50
1 06:40:00,r4,v3,3724
1 06:40:00,r4,v5,3352
1 06:40:00,r4,v9,50
1 06:50:00,r4,v3,3724
1 06:50:00,r4,v5,3352
1 06:50:00,r4,v9,50
1 07:00:00,r4,v3,3724
1 07:00:00,r4,v5,3352
1 07:00:00,r4,v9,50
1 07:10:00,r4,v3,3724
1 07:10:00,r4,v5,3352
1 07:10:00,r4,v9,50
1 07:20:00,r4,v3,3724
1 07:20:00,r4,v5,3352
1 07:20:00,r4,v9,50
1 07:30:00,r4,v3,3724
1 07:30:00,r4,v5,3352
1 07:30:00,r4,v9,50
1 07:40:00,r4,v3,3724
1 07:40:00,r4,v5,3352
1 07:40:00,r4,v9,50
1 07:50:00,r4,v3,3724
1 07:50:00,r4,v5,3352
1 07:50:00,r4,v9,50
1 08:00:00,r4,v3,3724
1 08:00:00,r4,v5,3352
1 08:00:00,r4,v9,50
1 08:10:00,r4,v3,3724
1 08:10:00,r4,v5,3352
1 08:10:00,r4,v9,50
1 08:20:00,r4,v3,3724
1 08:20:00,r4,v5,3352
1 08:20:00,r4,v9,50
1 08:30:00,r4,v3,3724
1 08:30:00,r4,v5,3352
1 08:30:00,r4,v9,50
1 08:40:00,r4,v3,3724
1 08:40:00,r4,v5,3352
1 08:40:00,r4,v9,50
1 08:50:00,r4,v3,3724
1 08:50:00,r4,v5,3352
1 08:50:00,r4,v9,50
1 09:00:00,r4,v3,3724
1 09:00:00,r4,v5,3352
