1 00:00:00,r6,v1,16
1 00:00:00,r6,v3,424
1 00:00:00,r6,v23,32
1 00:00:00,r6,v15,2482
1 00:00:00,r7,v1,16
1 00:00:00,r7,v3,16
1 00:00:00,r7,v14,80
1 00:00:00,r7,v15,833
1 00:00:00,r7,v16,176
1 00:10:00,r6,v1,16
1 00:10:00,r6,v3,424
1 00:10:00,r6,v23,32
1 00:10:00,r6,v15,2482
1 00:10:00,r7,v1,16
1 00:10:00,r7,v3,16
1 00:10:00,r7,v14,80
1 00:10:00,r7,v15,833
1 00:10:00,r7,v16,176
1 00:20:00,r6,v1,16
1 00:20:00,r6,v3,424
1 00:20:00,r6,v23,32
1 00:20:00,r6,v15,2482
1 00:20:00,r7,v1,16
1 00:20:00,r7,v3,16
1 00:20:00,r7,v14,80
1 00:20:00,r7,v15,833
1 00:20:00,r7,v16,176
1 00:30:00,r6,v1,16
1 00:30:00,r6,v3,424
1 00:30:00,r6,v23,32
1 00:30:00,r6,v15,2482
1 00:30:00,r7,v1,16
1 00:30:00,r7,v3,16
1 00:30:00,r7,v14,80
1 00:30:00,r7,v15,833
1 00:30:00,r7,v16,176
1 00:40:00,r6,v1,16
1 00:40:00,r6,v3,424
1 00:40:00,r6,v23,32
1 00:40:00,r6,v15,2482
1 00:40:00,r7,v1,16
1 00:40:00,r7,v3,16
1 00:40:00,r7,v14,80
1 00:40:00,r7,v15,833
1 00:40:00,r7,v16,176
1 00:50:00,r6,v1,16
1 00:50:00,r6,v3,424
1 00:50:00,r6,v23,32
1 00:50:00,r6,v15,2482
1 00:50:00,r7,v1,16
1 00:50:00,r7,v3,16
1 00:50:00,r7,v14,80
1 00:50:00,r7,v15,833
1 00:50:00,r7,v16,176
1 01:00:00,r6,v1,16
1 01:00:00,r6,v3,424
1 01:00:00,r6,v23,32
1 01:00:00,r6,v15,2482
1 01:00:00,r7,v1,16
1 01:00:00,r7,v3,16
1 01:00:00,r7,v14,80
1 01:00:00,r7,v15,833
1 01:00:00,r7,v16,176
1 01:10:00,r6,v1,16
1 01:10:00,r6,v3,424
1 01:10:00,r6,v23,32
1 01:10:00,r6,v15,2482
1 01:10:00,r7,v1,16
1 01:10:00,r7,v3,16
1 01:10:00,r7,v14,80
1 01:10:00,r7,v15,833
1 01:10:00,r7,v16,176
1 01:20:00,r6,v1,16
1 01:20:00,r6,v3,424
1 01:20:00,r6,v23,32
1 01:20:00,r6,v15,2482
1 01:20:00,r7,v1,16
1 01:20:00,r7,v3,16
1 01:20:00,r7,v14,80
1 01:20:00,r7,v15,833
1 01:20:00,r7,v16,176
1 01:30:00,r6,v1,16
1 01:30:00,r6,v3,424
1 01:30:00,r6,v23,32
